the_geom,Loc,OBJECTID,Borough,Street_Nam,From_Stree,To_Street,Index,May07_D,May07_AM,May07_PM,May07_D2,May07_MD,Sept07_D,Sept07_AM,Sept07_PM,Sept07_D2,Sept07_MD,May08_D,May08_AM,May08_PM,May08_D2,May08_MD,Sept08_D,Sept08_AM,Sept08_PM,Sept08_D2,Sept08_MD,May09_D,May09_AM,May09_PM,May09_D2,May09_MD,Sept09_D,Sept09_AM,Sept09_PM,Sept09_D2,Sept09_MD,May10_D,May10_AM,May10_PM,May10_D2,May10_MD,Sept10_D,Sept10_AM,Sept10_PM,Sept10_D2,Sept10_MD,May11_D,May11_AM,May11_PM,May11_D2,May11_MD,Sept11_D,Sept11_AM,Sept11_PM,Sept11_D2,Sept11_MD,May12_D,May12_AM,May12_PM,May12_D2,May12_MD,Sept12_D,Sept12_AM,Sept12_PM,Sept12_D2,Sept12_MD,May13_D,May13_AM,May13_PM,May13_D2,May13_MD,Sept13_D,Sept13_AM,Sept13_PM,Sept13_D2,Sept13_MD,May14_D,May14_AM,May14_PM,May14_D2,May14_MD,Sept14_D,Sept14_AM,Sept14_PM,Sept14_D2,Sept14_MD,May15_D,May15_AM,May15_PM,May15_D2,May15_MD,Sept15_D,Sept15_AM,Sept15_PM,Sept15_D2,Sept15_MD,May16_D,May16_AM,May16_PM,May16_D2,May16_MD,Sept16_D,Sept16_AM,Sept16_PM,Sept16_D2,Sept16_MD,May17_D,May17_AM,May17_PM,May17_D3,May17_MD,Sept17_D,Sept17_AM,Sept17_PM,Sept17_D2,Sept17_MD
POINT (-73.90459140730678 40.87919896648571),1,1,Bronx,Broadway,West 231st Street,Naples Terrace,N,5/10/2007,1189,4094,5/5/2007,2508,9/25/2007,734,2646,9/29/2007,2939,5/1/2008,802,4015,5/17/2008,2631,9/23/2008,1125,4310,10/4/2008,3420,5/5/2009,1001,3475,5/2/2009,2832,9/10/2009,991,4262,9/26/2009,2469,5/6/2010,1010,3609,5/1/2010,3128,9/8/2010,863,4119,9/11/2010,2217,5/10/2011,997,4440,4/30/2011,2687,9/8/2011,1328,3820,9/10/2011,2428,5/3/2012,1288,3328,6/2/2012,3365,9/12/2012,"1,268","4,315",9/15/2012,"2,276",5/7/2013,"1,210","4,710",5/18/2013,"3,825",10/1/2013,"1,206","4,590",10/5/2013,"3,008",5/8/2014,"1,220","4,384",5/17/2014,"2,641",9/4/2014,"1,450","4,646",9/6/2014,"2,996",5/13/2015,"1,788","4,980",5/16/2015,"3,033",9/17/2015,1204,4520,9/12/2015,2999,05/05/16,"1,246","4,531",05/07/16,"2,686",09/27/16,"1,309","3,642",09/10/16,"2,830",05/09/17,"1,916","5,893",05/06/17,"2,776",09/12/17,"1,111","4,044",09/23/17,"2,731"
POINT (-73.92188432870218 40.82662794123289),2,2,Bronx,East 161st Street,Grand Concourse,Sheridan Avenue,Y,5/10/2007,1511,3184,5/5/2007,1971,9/25/2007,1855,3754,9/29/2007,1183,5/6/2008,1136,2638,5/17/2008,1522,9/23/2008,1939,3283,10/4/2008,1383,5/5/2009,1351,3111,5/2/2009,1304,9/10/2009,1227,3137,9/26/2009,2762,5/6/2010,2077,3283,5/1/2010,1409,9/14/2010,1007,3069,9/11/2010,1477,5/5/2011,1734,3333,4/30/2011,1772,9/14/2011,2051,3525,9/10/2011,1752,5/3/2012,1233,1875,6/2/2012,1912,9/12/2012,"2,113","4,099",9/22/2012,"1,970",5/1/2013,"2,278","4,215",5/4/2013,"2,288",9/18/2013,"2,071","3,890",9/21/2013,"1,832",5/8/2014,"2,206","4,363",5/17/2014,"2,315",9/11/2014,"1,949","4,435",9/13/2014,"2,388",5/19/2015,"2,318","4,589",5/16/2015,"2,483",9/17/2015,2005,4790,9/26/2015,2512,05/10/16,"2,053","4,721",05/14/16,"2,311",09/20/16,"2,109","5,485",09/10/16,"2,548",05/09/17,"1,848","4,920",05/06/17,"2,143",09/16/17,"2,389","5,952",09/23/17,"2,832"
POINT (-73.89535781584335 40.86215460031514),3,3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,5/10/2007,1832,12311,5/5/2007,14391,9/25/2007,1829,9215,9/29/2007,15065,5/1/2008,1061,8013,5/17/2008,7927,9/23/2008,2497,10010,10/4/2008,8013,5/5/2009,1689,8374,5/2/2009,7472,9/10/2009,2387,10655,9/26/2009,6614,5/6/2010,2285,10943,5/1/2010,10424,9/8/2010,2807,12658,9/11/2010,7714,5/10/2011,2289,15890,4/30/2011,9167,9/8/2011,2679,13548,9/10/2011,8140,5/3/2012,2125,7635,6/9/2012,7022,9/11/2012,"2,704","10,486",9/15/2012,"7,421",5/1/2013,"2,710","12,723",5/4/2013,"8,872",10/1/2013,"2,651","10,613",10/5/2013,"8,241",5/8/2014,"2,699","12,490",5/17/2014,"6,339",9/4/2014,"2,752","10,408",9/6/2014,"8,266",5/13/2015,"2,382","11,216",5/16/2015,"7,574",9/17/2015,2733,10586,9/12/2015,9072,05/05/16,"2,540","11,272",05/07/16,"8,422",09/27/16,"2,422","11,145",09/10/16,"9,775",05/09/17,"2,557","12,125",05/06/17,"6,499",09/12/17,"2,783","12,388",09/23/17,"7,076"
POINT (-73.87892467324478 40.881286995987274),4,4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,5/10/2007,764,2673,5/5/2007,1798,9/25/2007,1360,1975,9/29/2007,872,5/1/2008,2102,3206,5/17/2008,1989,9/23/2008,3020,3915,10/4/2008,1662,5/5/2009,1536,2997,5/2/2009,1672,9/10/2009,2097,3135,9/26/2009,1591,5/6/2010,2954,3962,5/1/2010,1717,9/8/2010,1622,3006,9/11/2010,1344,5/10/2011,1661,2844,4/30/2011,1510,9/8/2011,1996,2836,9/10/2011,1587,5/3/2012,1906,2066,6/9/2012,1261,9/12/2012,"2,371","3,500",9/15/2012,"1,620",5/1/2013,"2,052","3,981",5/4/2013,"1,979",10/9/2013,"2,373","3,660",10/12/2013,"1,914",5/8/2014,"2,096","3,378",5/17/2014,"1,333",9/4/2014,"2,382","3,425",9/6/2014,"1,339",5/13/2015,"1,757","3,561",5/16/2015,"1,714",9/17/2015,2256,2923,9/12/2015,1574,05/05/16,"2,066","2,944",05/07/16,"1,752",09/27/16,"2,017","2,771",09/10/16,"1,459",05/09/17,"2,125","3,130",05/20/17,"1,123",09/12/17,"2,453","3,429",09/23/17,"1,551"
POINT (-73.88956389732787 40.84463677671764),5,5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,5/10/2007,650,2538,5/5/2007,2334,9/25/2007,1078,2739,9/29/2007,2343,4/29/2008,553,2438,5/10/2008,1652,9/23/2008,756,3095,10/4/2008,1374,5/5/2009,684,2660,5/2/2009,2604,9/10/2009,912,3637,9/26/2009,2339,5/6/2010,1075,5823,5/15/2010,4085,9/8/2010,1012,5785,9/11/2010,3758,5/24/2011,1093,6119,5/21/2011,4274,9/14/2011,1049,5859,9/10/2011,3934,5/31/2012,627,1503,6/9/2012,2371,9/13/2012,959,"3,140",9/22/2012,"2,273",5/1/2013,"1,007","4,175",5/4/2013,"2,854",10/9/2013,760,"3,488",10/12/2013,"2,805",5/21/2014,971,"3,586",5/31/2014,"2,460",9/4/2014,"1,019","3,184",9/6/2014,"2,366",5/21/2015,"1,055","3,710",5/9/2015,"2,554",9/17/2015,1063,3296,9/19/2015,2466,05/12/16,993,"3,625",05/21/16,"2,492",09/22/16,"1,101","3,336",09/10/16,"2,501",05/04/17,980,"3,700",05/06/17,"2,526",09/13/17,"1,082","3,330",09/23/17,"2,479"
POINT (-73.92087824799184 40.83015855511031),6,6,Bronx,Grand Concourse,East 164th Street,East 165th Street,Y,5/10/2007,489,1235,5/5/2007,835,9/25/2007,873,1457,9/29/2007,631,5/6/2008,634,1554,5/17/2008,856,9/23/2008,771,1445,10/4/2008,744,5/5/2009,605,1271,5/2/2009,539,9/10/2009,599,1028,9/26/2009,750,5/6/2010,597,1426,5/1/2010,669,9/8/2010,634,1341,9/18/2010,738,5/5/2011,753,1394,4/30/2011,891,9/14/2011,802,1396,9/10/2011,859,6/6/2012,838,1372,6/2/2012,1069,9/12/2012,936,"1,743",9/22/2012,"1,059",5/1/2013,912,"2,059",5/4/2013,"1,037",9/18/2013,963,"1,726",9/21/2013,973,5/8/2014,858,"2,035",5/17/2014,"1,042",9/11/2014,972,"1,902",9/13/2014,"1,097",5/19/2015,839,"2,023",5/16/2015,"1,059",9/17/2015,999,1948,9/26/2015,1161,05/10/16,767,"1,933",05/14/16,"1,010",09/20/16,982,"1,971",09/10/16,"1,165",05/09/17,740,"1,909",05/20/17,925,09/06/17,962,"1,872",09/23/17,"1,199"
POINT (-73.91635737290386 40.81688745834863),7,7,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,5/10/2007,703,8776,5/5/2007,2865,9/25/2007,858,6503,9/29/2007,5501,4/29/2008,636,6123,5/10/2008,4461,9/23/2008,1499,5803,10/4/2008,4251,5/5/2009,1696,7236,5/2/2009,3540,9/10/2009,1446,6730,9/26/2009,7409,5/6/2010,1624,6877,5/1/2010,4565,9/14/2010,1701,6922,9/18/2010,4866,5/5/2011,1773,7138,4/30/2011,5866,9/14/2011,1937,7050,9/10/2011,4951,5/3/2012,1367,6961,5/5/2012,5551,9/12/2012,"1,604","7,500",9/22/2012,"5,012",5/1/2013,"2,097","8,853",5/4/2013,"6,599",9/18/2013,"1,231","6,701",9/21/2013,"4,294",5/8/2014,"2,161","9,048",5/17/2014,"6,717",9/11/2014,"1,648","9,057",9/13/2014,"6,785",5/19/2015,"2,165","9,285",5/16/2015,"6,721",9/17/2015,1690,7894,9/26/2015,6844,05/10/16,"2,059","9,097",05/14/16,"6,688",09/20/16,"1,689","7,885",09/10/16,"6,900",05/09/17,"2,027","9,045",05/20/17,"6,683",09/06/17,"1,702","7,883",09/23/17,"6,921"
POINT (-73.86767352599497 40.85558871971952),8,8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,5/10/2007,1025,4039,5/5/2007,3991,9/25/2007,1743,4667,9/29/2007,3309,5/1/2008,1638,4798,5/17/2008,4858,9/23/2008,1056,3194,10/4/2008,2489,5/5/2009,990,3490,5/2/2009,3335,9/10/2009,1461,5090,9/26/2009,2526,5/6/2010,1375,4834,5/1/2010,3095,9/8/2010,1568,4386,9/11/2010,2217,5/10/2011,1545,4402,4/30/2011,2985,9/8/2011,1689,3016,9/10/2011,2360,5/31/2012,1626,3415,6/2/2012,3828,9/11/2012,"1,591","5,398",9/15/2012,"3,851",5/1/2013,"1,410","4,232",5/4/2013,"3,007",10/9/2013,"1,479","4,910",10/12/2013,"4,056",5/8/2014,"1,495","5,166",5/17/2014,"2,540",9/4/2014,"1,769","4,114",9/13/2014,"2,893",5/13/2015,"1,512","4,333",5/16/2015,"3,122",9/17/2015,1537,4379,9/12/2015,3092,05/05/16,"1,638","5,900",05/07/16,"2,582",09/27/16,"1,377","4,098",09/10/16,"2,730",05/09/17,"1,186","4,673",05/20/17,"3,420",09/12/17,"2,023","5,520",09/23/17,"3,166"
POINT (-74.01119296689038 40.644266823587365),9,9,Brooklyn,5th Avenue,51st Street,52nd Street,Y,5/9/2007,856,5940,5/5/2007,4354,9/25/2007,900,5435,9/29/2007,5081,4/29/2008,886,7054,5/17/2008,4806,9/11/2008,1062,5072,9/13/2008,5901,5/5/2009,914,5730,5/9/2009,4619,9/10/2009,1364,5475,10/3/2009,4740,5/5/2010,982,5570,5/1/2010,5371,9/15/2010,946,5585,9/11/2010,4577,5/12/2011,1350,7743,5/7/2011,6135,9/20/2011,1445,8170,9/10/2011,4999,5/31/2012,1306,3662,6/9/2012,4731,9/11/2012,"1,419","4,864",10/20/2012,"6,325",5/2/2013,"1,457","6,509",5/18/2013,"6,070",9/18/2013,"1,658","6,627",9/21/2013,"5,690",5/13/2014,"1,522","7,718",5/3/2014,"6,313",9/9/2014,"1,721","7,988",9/13/2014,"6,391",5/12/2015,"1,791","7,802",5/9/2015,"6,762",9/16/2015,1655,7502,9/12/2015,6082,05/19/16,"1,531","7,296",05/14/16,"6,014",09/08/16,"1,642","8,130",09/10/16,"5,763",05/02/17,"1,517","7,384",05/20/17,"5,356",09/13/17,"1,563","4,730",09/16/17,"5,563"
POINT (-73.98067647018506 40.67609353714623),10,10,Brooklyn,5th Avenue,Union Street,President Street,Y,5/8/2007,504,2207,5/5/2007,2225,9/25/2007,422,2167,9/29/2007,1627,5/6/2008,672,2707,5/3/2008,966,9/11/2008,487,1898,9/6/2008,2321,5/5/2009,469,2547,5/9/2009,2259,9/10/2009,774,2310,10/3/2009,1690,5/4/2010,582,2274,5/1/2010,2808,9/14/2010,661,3063,9/18/2010,2141,5/4/2011,631,2915,4/30/2011,2852,9/8/2011,591,2848,9/17/2011,2307,5/2/2012,666,1414,5/12/2012,2620,9/11/2012,723,"3,255",9/15/2012,"2,468",5/2/2013,688,"2,764",5/18/2013,"2,554",9/18/2013,794,"2,513",9/21/2013,"2,591",5/6/2014,800,"3,051",5/3/2014,"3,080",9/9/2014,955,"2,390",9/13/2014,"1,962",5/6/2015,900,"2,492",5/9/2015,"3,081",9/9/2015,922,2955,9/12/2015,2681,05/10/16,941,"2,751",05/14/16,"3,131",09/21/16,951,"2,911",09/10/16,"2,248",05/09/17,812,"2,570",05/20/17,"2,298",09/12/17,905,"2,463",09/23/17,"1,679"
