the_geom,Loc,Borough,Street,From_,To,Index,May07_D,May07_AM,May07_PM,May07_D2,May07_MD,Sept07_D,Sept07_AM,Sept07_PM,Sept07_D2,Sept07_MD,May08_D,May08_AM,May08_PM,May08_D2,May08_MD,Sept08_D,Sept08_AM,Sept08_PM,Sept08_D2,Sept08_MD,May09_D,May09_AM,May09_PM,May09_D2,May09_MD,Sept09_D,Sept09_AM,Sept09_PM,Sept09_D2,Sept09_MD,May10_D,May10_AM,May10_PM,May10_D2,May10_MD,Sept10_D,Sept10_AM,Sept10_PM,Sept10_D2,Sept10_MD,May11_D,May11_AM,May11_PM,May11_D2,May11_MD,Sept11_D,Sept11_AM,Sept11_PM,Sept11_D2,Sept11_MD,May12_D,May12_AM,May12_PM,May12_D2,May12_MD,Sept12_D,Sept12_AM,Sept12_PM,Sept12_D2,Sept12_MD,May13_D,May13_AM,May13_PM,May13_D2,May13_MD,Sept13_D,Sept13_AM,Sept13_PM,Sept13_D2,Sept13_MD,May14_D,May14_AM,May14_PM,May14_D2,May14_MD,Sept14_D,Sept14_AM,Sept14_PM,Sept14_D2,Sept14_MD,May15_D,May15_AM,May15_PM,May15_D2,May15_MD
POINT (-73.90459140730687 40.879198966485745),1,Bronx,Broadway,West 231st Street,Naples Terrace,N,5/10/2007,1189,4094,5/5/2007,2508,9/25/2007,734,2646,9/29/2007,2939,5/1/2008,802,4015,5/17/2008,2631,9/23/2008,1125,4310,10/4/2008,3420,5/5/2009,1001,3475,5/2/2009,2832,9/10/2009,991,4262,9/26/2009,2469,5/6/2010,1010,3609,5/1/2010,3128,9/8/2010,863,4119,9/11/2010,2217,5/10/2011,997,4440,4/30/2011,2687,9/8/2011,1328,3820,9/10/2011,2428,5/3/2012,1288,3328,6/2/2012,3365,9/12/2012,1268,4315,9/15/2012,2276,5/7/2013,1210,4710,5/18/2013,3825,10/1/2013,1206,4590,10/5/2013,3008,5/8/2014,1220,4384,05/17/2014 07:00:00 AM +0000,2641,9/4/2014,1450,4646,9/6/2014,2996,5/13/2015,1788,4980,5/16/2015,3033
POINT (-73.92188432870225 40.82662794123293),2,Bronx,East 161st Street,Grand Concourse,Sheridan Avenue,Y,5/10/2007,1511,3184,5/5/2007,1971,9/25/2007,1855,3754,9/29/2007,1183,5/6/2008,1136,2638,5/17/2008,1522,9/23/2008,1939,3283,10/4/2008,1383,5/5/2009,1351,3111,5/2/2009,1304,9/10/2009,1227,3137,9/26/2009,2762,5/6/2010,2077,3283,5/1/2010,1409,9/14/2010,1007,3069,9/11/2010,1477,5/5/2011,1734,3333,4/30/2011,1772,9/14/2011,2051,3525,9/10/2011,1752,5/3/2012,1233,1875,6/2/2012,1912,9/12/2012,2113,4099,9/22/2012,1970,5/1/2013,2278,4215,5/4/2013,2288,9/18/2013,2071,3890,9/21/2013,1832,5/8/2014,2206,4363,05/17/2014 07:00:00 AM +0000,2315,9/11/2014,1949,4435,9/13/2014,2388,5/19/2015,2318,4589,5/16/2015,2483
POINT (-73.89535781584343 40.862154600315165),3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,5/10/2007,1832,12311,5/5/2007,14391,9/25/2007,1829,9215,9/29/2007,15065,5/1/2008,1061,8013,5/17/2008,7927,9/23/2008,2497,10010,10/4/2008,8013,5/5/2009,1689,8374,5/2/2009,7472,9/10/2009,2387,10655,9/26/2009,6614,5/6/2010,2285,10943,5/1/2010,10424,9/8/2010,2807,12658,9/11/2010,7714,5/10/2011,2289,15890,4/30/2011,9167,9/8/2011,2679,13548,9/10/2011,8140,5/3/2012,2125,7635,6/9/2012,7022,9/11/2012,2704,10486,9/15/2012,7421,5/1/2013,2710,12723,5/4/2013,8872,10/1/2013,2651,10613,10/5/2013,8241,5/8/2014,2699,12490,05/17/2014 07:00:00 AM +0000,6339,9/4/2014,2752,10408,9/6/2014,8266,5/13/2015,2382,11216,5/16/2015,7574
POINT (-73.87892467324485 40.881286995987296),4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,5/10/2007,764,2673,5/5/2007,1798,9/25/2007,1360,1975,9/29/2007,872,5/1/2008,2102,3206,5/17/2008,1989,9/23/2008,3020,3915,10/4/2008,1662,5/5/2009,1536,2997,5/2/2009,1672,9/10/2009,2097,3135,9/26/2009,1591,5/6/2010,2954,3962,5/1/2010,1717,9/8/2010,1622,3006,9/11/2010,1344,5/10/2011,1661,2844,4/30/2011,1510,9/8/2011,1996,2836,9/10/2011,1587,5/3/2012,1906,2066,6/9/2012,1261,9/12/2012,2371,3500,9/15/2012,1620,5/1/2013,2052,3981,5/4/2013,1979,10/9/2013,2373,3660,10/12/2013,1914,5/8/2014,2096,3378,05/17/2014 07:00:00 AM +0000,1333,9/4/2014,2382,3425,9/6/2014,1339,5/13/2015,1757,3561,5/16/2015,1714
POINT (-73.88956389732796 40.84463677671767),5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,5/10/2007,650,2538,5/5/2007,2334,9/25/2007,1078,2739,9/29/2007,2343,4/29/2008,553,2438,5/10/2008,1652,9/23/2008,756,3095,10/4/2008,1374,5/5/2009,684,2660,5/2/2009,2604,9/10/2009,912,3637,9/26/2009,2339,5/6/2010,1075,5823,5/15/2010,4085,9/8/2010,1012,5785,9/11/2010,3758,5/24/2011,1093,6119,5/21/2011,4274,9/14/2011,1049,5859,9/10/2011,3934,5/31/2012,627,1503,6/9/2012,2371,9/13/2012,959,3140,9/22/2012,2273,5/1/2013,1007,4175,5/4/2013,2854,10/9/2013,760,3488,10/12/2013,2805,5/21/2014,971,3586,05/31/2014 07:00:00 AM +0000,2460,9/4/2014,1019,3184,9/6/2014,2366,5/21/2015,1055,3710,5/9/2015,2554
POINT (-73.92087824799191 40.83015855511036),6,Bronx,Grand Concourse,East 164th Street,East 165th Street,Y,5/10/2007,489,1235,5/5/2007,835,9/25/2007,873,1457,9/29/2007,631,5/6/2008,634,1554,5/17/2008,856,9/23/2008,771,1445,10/4/2008,744,5/5/2009,605,1271,5/2/2009,539,9/10/2009,599,1028,9/26/2009,750,5/6/2010,597,1426,5/1/2010,669,9/8/2010,634,1341,9/18/2010,738,5/5/2011,753,1394,4/30/2011,891,9/14/2011,802,1396,9/10/2011,859,6/6/2012,838,1372,6/2/2012,1069,9/12/2012,936,1743,9/22/2012,1059,5/1/2013,912,2059,5/4/2013,1037,9/18/2013,963,1726,9/21/2013,973,5/8/2014,858,2035,05/17/2014 07:00:00 AM +0000,1042,9/11/2014,972,1902,9/13/2014,1097,5/19/2015,839,2023,5/16/2015,1059
POINT (-73.91635737290395 40.81688745834867),7,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,5/10/2007,703,8776,5/5/2007,2865,9/25/2007,858,6503,9/29/2007,5501,4/29/2008,636,6123,5/10/2008,4461,9/23/2008,1499,5803,10/4/2008,4251,5/5/2009,1696,7236,5/2/2009,3540,9/10/2009,1446,6730,9/26/2009,7409,5/6/2010,1624,6877,5/1/2010,4565,9/14/2010,1701,6922,9/18/2010,4866,5/5/2011,1773,7138,4/30/2011,5866,9/14/2011,1937,7050,9/10/2011,4951,5/3/2012,1367,6961,5/5/2012,5551,9/12/2012,1604,7500,9/22/2012,5012,5/1/2013,2097,8853,5/4/2013,6599,9/18/2013,1231,6701,9/21/2013,4294,5/8/2014,2161,9048,05/17/2014 07:00:00 AM +0000,6717,9/11/2014,1648,9057,9/13/2014,6785,5/19/2015,2165,9285,5/16/2015,6721
POINT (-73.86767352599504 40.855588719719535),8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,5/10/2007,1025,4039,5/5/2007,3991,9/25/2007,1743,4667,9/29/2007,3309,5/1/2008,1638,4798,5/17/2008,4858,9/23/2008,1056,3194,10/4/2008,2489,5/5/2009,990,3490,5/2/2009,3335,9/10/2009,1461,5090,9/26/2009,2526,5/6/2010,1375,4834,5/1/2010,3095,9/8/2010,1568,4386,9/11/2010,2217,5/10/2011,1545,4402,4/30/2011,2985,9/8/2011,1689,3016,9/10/2011,2360,5/31/2012,1626,3415,6/2/2012,3828,9/11/2012,1591,5398,9/15/2012,3851,5/1/2013,1410,4232,5/4/2013,3007,10/9/2013,1479,4910,10/12/2013,4056,5/8/2014,1495,5166,05/17/2014 07:00:00 AM +0000,2540,9/4/2014,1769,4114,9/13/2014,2893,5/13/2015,1512,4333,5/16/2015,3122
POINT (-74.01119296689045 40.6442668235874),9,Brooklyn,5th Avenue,51st Street,52nd Street,Y,5/9/2007,856,5940,5/5/2007,4354,9/25/2007,900,5435,9/29/2007,5081,4/29/2008,886,7054,5/17/2008,4806,9/11/2008,1062,5072,9/13/2008,5901,5/5/2009,914,5730,5/9/2009,4619,9/10/2009,1364,5475,10/3/2009,4740,5/5/2010,982,5570,5/1/2010,5371,9/15/2010,946,5585,9/11/2010,4577,5/12/2011,1350,7743,5/7/2011,6135,9/20/2011,1445,8170,9/10/2011,4999,5/31/2012,1306,3662,6/9/2012,4731,9/11/2012,1419,4864,10/20/2012,6325,5/2/2013,1457,6509,5/18/2013,6070,9/18/2013,1658,6627,9/21/2013,5690,5/13/2014,1522,7718,05/03/2014 07:00:00 AM +0000,6313,9/9/2014,1721,7988,9/13/2014,6391,5/12/2015,1791,7802,5/9/2015,6762
POINT (-73.98067647018512 40.676093537146265),10,Brooklyn,5th Avenue,Union Street,President Street,Y,5/8/2007,504,2207,5/5/2007,2225,9/25/2007,422,2167,9/29/2007,1627,5/6/2008,672,2707,5/3/2008,966,9/11/2008,487,1898,9/6/2008,2321,5/5/2009,469,2547,5/9/2009,2259,9/10/2009,774,2310,10/3/2009,1690,5/4/2010,582,2274,5/1/2010,2808,9/14/2010,661,3063,9/18/2010,2141,5/4/2011,631,2915,4/30/2011,2852,9/8/2011,591,2848,9/17/2011,2307,5/2/2012,666,1414,5/12/2012,2620,9/11/2012,723,3255,9/15/2012,2468,5/2/2013,688,2764,5/18/2013,2554,9/18/2013,794,2513,9/21/2013,2591,5/6/2014,800,3051,05/03/2014 07:00:00 AM +0000,3080,9/9/2014,955,2390,9/13/2014,1962,5/6/2015,900,2492,5/9/2015,3081
